PosX,PosY,PosZ,VelX,VelY,VelZ,time
1,0,0,0,-1,0,0
0.9980280251776359,-0.06276990489102435,0,-0.06276990489102435,-0.9980280251776359,0,0.06283185631036758
0.9921198780799436,-0.1252922484379541,0,-0.1252922484379541,-0.9921198780799435,0,0.1256637126207352
0.9822988601415701,-0.1873204456661698,0,-0.1873204456661698,-0.9822988601415699,0,0.1884955689311028
0.9686037049627242,-0.24860986048925,0,-0.2486098604892501,-0.968603704962724,0,0.2513274252414703
0.9510884255458081,-0.3089187705413778,0,-0.3089187705413778,-0.9510884255458077,0,0.3141592815518379
0.9298221012708554,-0.368009320518179,0,-0.368009320518179,-0.929822101270855,0,0.3769911378622055
0.904888605449935,-0.4256484602660658,0,-0.4256484602660658,-0.9048886054499345,0,0.4398229941725731
0.8763862745350316,-0.4816088639203071,0,-0.4816088639203071,-0.8763862745350312,0,0.5026548504829407
0.844427520284031,-0.535669826466792,0,-0.535669826466792,-0.8444275202840306,0,0.5654867067933083
0.8091383864144075,-0.5876181341914914,0,-0.5876181341914914,-0.8091383864144071,0,0.6283185631036758
0.7706580514931489,-0.6372489055846106,0,-0.6372489055846104,-0.7706580514931484,0,0.6911504194140434
0.7291382800234969,-0.6843663993829457,0,-0.6843663993829455,-0.7291382800234963,0,0.753982275724411
0.6847428238933884,-0.7287847865635705,0,-0.7287847865635703,-0.6847428238933878,0,0.8168141320347786
0.6376467765462552,-0.7703288832441444,0,-0.7703288832441443,-0.6376467765462548,0,0.8796459883451462
0.5880358824213003,-0.8088348415993238,0,-0.8088348415993236,-0.5880358824213,0,0.9424778446555138
0.5361058043867826,-0.8441507960683338,0,-0.8441507960683334,-0.5361058043867822,0,1.005309700965881
0.4820613520555168,-0.8761374623050928,0,-0.8761374623050925,-0.4820613520555164,0,1.068141557276249
0.4261156740260744,-0.9046686865086605,0,-0.9046686865086602,-0.426115674026074,0,1.130973413586617
0.3684894172354438,-0.9296319429674755,0,-0.9296319429674753,-0.3684894172354434,0,1.193805269896984
0.3094098567386213,-0.950928777855096,0,-0.9509287778550958,-0.3094098567386209,0,1.256637126207352
0.249109999347239,-0.968475197527133,0,-0.9684751975271327,-0.2491099993472386,0,1.319468982517719
0.187827664662433,-0.9822019997879546,0,-0.9822019997879544,-0.1878276646624326,0,1.382300838828087
0.1258045471263114,-0.9920550468206613,0,-0.9920550468206609,-0.125804547126311,0,1.445132695138454
0.06328526279124577,-0.9979954787039086,0,-0.9979954787039083,-0.0632852627912454,0,1.507964551448822
0.0005163845664780883,-0.9999998666734812,0,-0.9999998666734808,-0.0005163845664777206,0,1.57079640775919
-0.0622545302530171,-0.9980603055241586,0,-0.9980603055241583,0.06225453025301746,0,1.633628264069557
-0.1247799163400382,-0.9921844447874466,0,-0.9921844447874463,0.1247799163400385,0,1.696460120379925
-0.1868131767203407,-0.9823954585622102,0,-0.9823954585622099,0.1868131767203411,0,1.759291976690292
-0.2481096553386865,-0.9687319541171947,0,-0.9687319541171944,0.2481096553386869,0,1.82212383300066
-0.3084276019700057,-0.9512478196259018,0,-0.9512478196259014,0.308427601970006,0,1.884955689311028
-0.3675291256701108,-0.9300120116343468,0,-0.9300120116343463,0.3675291256701111,0,1.947787545621395
-0.425181133005602,-0.9051082830999134,0,-0.905108283099913,0.4251811330056023,0,2.010619401931763
-0.4811562473626306,-0.8766348530739075,0,-0.8766348530739071,0.4811562473626309,0,2.07345125824213
-0.5352337057088146,-0.8447040193305644,0,-0.8447040193305639,0.5352337057088148,0,2.136283114552498
-0.5872002292715216,-0.8094417154702819,0,-0.8094417154702814,0.5872002292715218,0,2.199114970862865
-0.6368508646986089,-0.7709870142438421,0,-0.7709870142438416,0.6368508646986091,0,2.261946827173233
-0.6839897923841232,-0.7294915790564852,0,-0.7294915790564848,0.6839897923841234,0,2.324778683483601
-0.7284310987709663,-0.6851190658150762,0,-0.6851190658150758,0.7284310987709666,0,2.387610539793968
-0.7699995095846027,-0.6380444774774492,0,-0.6380444774774489,0.7699995095846029,0,2.450442396104336
-0.8085310811059719,-0.5884534738495542,0,-0.5884534738495539,0.8085310811059722,0,2.513274252414703
-0.8438738467572615,-0.5365416393525311,0,-0.536541639352531,0.8438738467572617,0,2.576106108725071
-0.8758884164504374,-0.4825137116476017,0,-0.4825137116476016,0.8758884164504375,0,2.638937965035439
-0.9044485263347318,-0.4265827741610433,0,-0.4265827741610432,0.9044485263347319,0,2.701769821345806
-0.9294415367749134,-0.3689694156938852,0,-0.3689694156938851,0.9294415367749135,0,2.764601677656174
-0.9507688765963358,-0.3099008604307856,0,-0.3099008604307855,0.9507688765963359,0,2.827433533966541
-0.9683464318446874,-0.249610071779289,0,-0.249610071779289,0.9683464318446875,0,2.890265390276909
-0.9821048775271912,-0.1883348335738779,0,-0.1883348335738779,0.9821048775271913,0,2.953097246587276
-0.9919899510268858,-0.1263168122685031,0,-0.1263168122685031,0.9919899510268859,0,3.015929102897644
-0.9979626661116539,-0.06380060381625877,0,-0.06380060381625879,0.997962666111654,0,3.078760959208012
-0.9999994666939588,-0.00103276899525985,0,-0.001032768995259892,0.9999994666939589,0,3.141592815518379
-0.9980923197348676,0.06173913901465101,0,0.06173913901465095,0.9980923197348677,0,3.204424671828747
-0.992248746925952,0.1242675509691792,0,0.1242675509691791,0.9922487469259521,0,3.267256528139114
-0.9824917950241158,0.1863058579602113,0,0.1863058579602112,0.9824917950241159,0,3.330088384449482
-0.9688599449563456,0.2476093840289303,0,0.2476093840289302,0.9688599449563459,0,3.39292024075985
