0,-0.8,0,0,0.8,0,0
0.125121,-0.794982,0,-0.125121,0.794982,0,2
0.250967,-0.779713,0,-0.250967,0.779713,0,4
0.37826,-0.753523,0,-0.37826,0.753523,0,6
0.507712,-0.715213,0,-0.507712,0.715213,0,8
0.639996,-0.662916,0,-0.639996,0.662916,0,10
0.775675,-0.593868,0,-0.775675,0.593868,0,12
0.915056,-0.504022,0,-0.915056,0.504022,0,14
1.05785,-0.387441,0,-1.05785,0.387441,0,16
1.20242,-0.2353,0,-1.20242,0.2353,0,18
1.34407,-0.0342972,0,-1.34407,0.0342972,0,20
1.471,0.235655,0,-1.471,-0.235655,0,22
1.55439,0.60355,0,-1.55439,-0.60355,0,24
1.52517,1.10199,0,-1.52517,-1.10199,0,26
1.2344,1.72045,0,-1.2344,-1.72045,0,28
0.493215,2.24511,0,-0.493215,-2.24511,0,30
-0.530346,2.23224,0,0.530346,-2.23224,0,32
-1.25309,1.69586,0,1.25309,-1.69586,0,34
-1.52988,1.08011,0,1.52988,-1.08011,0,36
-1.55262,0.587108,0,1.55262,-0.587108,0,38
-1.46664,0.22363,0,1.46664,-0.22363,0,40
-1.33876,-0.0431818,0,1.33876,0.0431818,0,42
-1.19684,-0.241977,0,1.19684,0.241977,0,44
-1.05228,-0.392534,0,1.05228,0.392534,0,46
-0.909607,-0.507942,0,0.909607,0.507942,0,48
-0.770369,-0.596889,0,0.770369,0.596889,0,50
-0.634829,-0.665225,0,0.634829,0.665225,0,52
-0.502666,-0.716937,0,0.502666,0.716937,0,54
-0.37331,-0.75475,0,0.37331,0.75475,0,56
-0.246086,-0.7805,0,0.246086,0.7805,0,58
-0.120281,-0.795363,0,0.120281,0.795363,0,60
0.00482612,-0.799993,0,-0.00482612,0.799993,0,62
0.129961,-0.794586,0,-0.129961,0.794586,0,64
0.25585,-0.778911,0,-0.25585,0.778911,0,66
0.383213,-0.752278,0,-0.383213,0.752278,0,68
0.512763,-0.713468,0,-0.512763,0.713468,0,70
0.645168,-0.660583,0,-0.645168,0.660583,0,72
0.780987,-0.590816,0,-0.780987,0.590816,0,74
0.920511,-0.500063,0,-0.920511,0.500063,0,76
1.06341,-0.382296,0,-1.06341,0.382296,0,78
1.20798,-0.22855,0,-1.20798,0.22855,0,80
1.34936,-0.0253109,0,-1.34936,0.0253109,0,82
1.4753,0.247826,0,-1.4753,-0.247826,0,84
1.55601,0.620191,0,-1.55601,-0.620191,0,86
1.52009,1.12407,0,-1.52009,-1.12407,0,88
1.21499,1.74495,0,-1.21499,-1.74495,0,90
0.455572,2.25711,0,-0.455572,-2.25711,0,92
-0.566934,2.21852,0,0.566934,-2.21852,0,94
-1.27109,1.67121,0,1.27109,-1.67121,0,96
-1.53422,1.05843,0,1.53422,-1.05843,0,98
-1.5507,0.570861,0,1.5507,-0.570861,0,100
-1.46222,0.211748,0,1.46222,-0.211748,0,102
-1.33344,-0.0519663,0,1.33344,0.0519663,0,104
-1.19127,-0.248583,0,1.19127,0.248583,0,106
-1.04672,-0.397575,0,1.04672,0.397575,0,108
-0.904163,-0.511822,0,0.904163,0.511822,0,110
-0.765068,-0.599879,0,0.765068,0.599879,0,112
-0.629666,-0.667509,0,0.629666,0.667509,0,114
-0.497624,-0.71864,0,0.497624,0.71864,0,116
-0.368363,-0.755958,0,0.368363,0.755958,0,118
-0.241207,-0.78127,0,0.241207,0.78127,0,120
-0.115443,-0.79573,0,0.115443,0.79573,0,122
0.00965229,-0.79997,0,-0.00965229,0.79997,0,124
0.134803,-0.794174,0,-0.134803,0.794174,0,126
0.260735,-0.778092,0,-0.260735,0.778092,0,128
0.38817,-0.751016,0,-0.38817,0.751016,0,130
0.517818,-0.711702,0,-0.517818,0.711702,0,132
0.650346,-0.658224,0,-0.650346,0.658224,0,134
0.786305,-0.587734,0,-0.786305,0.587734,0,136
0.92597,-0.496065,0,-0.92597,0.496065,0,138
1.06898,-0.377098,0,-1.06898,0.377098,0,140
1.21355,-0.221728,0,-1.21355,0.221728,0,142
1.35462,-0.0162216,0,-1.35462,0.0162216,0,144
1.47954,0.260143,0,-1.47954,-0.260143,0,146
1.55745,0.637031,0,-1.55745,-0.637031,0,148
1.51462,1.14636,0,-1.51462,-1.14636,0,150
1.19485,1.76934,0,-1.19485,-1.76934,0,152
0.41745,2.2682,0,-0.41745,-2.2682,0,154
-0.602949,2.20398,0,0.602949,-2.20398,0,156
-1.28839,1.6465,0,1.28839,-1.6465,0,158
-1.53821,1.03696,0,1.53821,-1.03696,0,160
-1.54863,0.554808,0,1.54863,-0.554808,0,162
-1.45774,0.200007,0,1.45774,-0.200007,0,164
-1.32809,-0.0606518,0,1.32809,0.0606518,0,166
-1.18569,-0.25512,0,1.18569,0.25512,0,168
-1.04117,-0.402565,0,1.04117,0.402565,0,170
-0.898724,-0.515663,0,0.898724,0.515663,0,172
-0.759773,-0.602839,0,0.759773,0.602839,0,174
-0.624509,-0.669769,0,0.624509,0.669769,0,176
-0.492586,-0.720324,0,0.492586,0.720324,0,178
-0.363419,-0.757149,0,0.363419,0.757149,0,180
-0.23633,-0.782024,0,0.23633,0.782024,0,182
-0.110605,-0.79608,0,0.110605,0.79608,0,184
0.0144785,-0.799933,0,-0.0144785,0.799933,0,186
0.139646,-0.793747,0,-0.139646,0.793747,0,188
0.265623,-0.777257,0,-0.265623,0.777257,0,190
0.39313,-0.749735,0,-0.39313,0.749735,0,192
0.522877,-0.709915,0,-0.522877,0.709915,0,194
0.655528,-0.65584,0,-0.655528,0.65584,0,196
