KE: , 0.281267 , PE: , -0.155778 , total: , 0.125489 , delta E: , -0.05883 , t: , 15.25
KE: , 0.280791 , PE: , -0.15551 , total: , 0.125281 , delta E: , -0.0603939 , t: , 15.5
KE: , 0.280315 , PE: , -0.155243 , total: , 0.125072 , delta E: , -0.0619617 , t: , 15.75
KE: , 0.279839 , PE: , -0.154976 , total: , 0.124862 , delta E: , -0.0635328 , t: , 16
KE: , 0.279363 , PE: , -0.15471 , total: , 0.124652 , delta E: , -0.0651064 , t: , 16.25
KE: , 0.278887 , PE: , -0.154445 , total: , 0.124442 , delta E: , -0.0666816 , t: , 16.5
KE: , 0.278412 , PE: , -0.15418 , total: , 0.124232 , delta E: , -0.0682579 , t: , 16.75
KE: , 0.277939 , PE: , -0.153917 , total: , 0.124022 , delta E: , -0.0698345 , t: , 17
KE: , 0.277466 , PE: , -0.153654 , total: , 0.123812 , delta E: , -0.0714106 , t: , 17.25
KE: , 0.276995 , PE: , -0.153393 , total: , 0.123602 , delta E: , -0.0729855 , t: , 17.5
KE: , 0.276525 , PE: , -0.153133 , total: , 0.123392 , delta E: , -0.0745586 , t: , 17.75
KE: , 0.276057 , PE: , -0.152874 , total: , 0.123183 , delta E: , -0.0761291 , t: , 18
KE: , 0.275591 , PE: , -0.152617 , total: , 0.122974 , delta E: , -0.0776964 , t: , 18.25
KE: , 0.275127 , PE: , -0.152361 , total: , 0.122765 , delta E: , -0.0792597 , t: , 18.5
KE: , 0.274665 , PE: , -0.152108 , total: , 0.122558 , delta E: , -0.0808184 , t: , 18.75
KE: , 0.274206 , PE: , -0.151856 , total: , 0.12235 , delta E: , -0.0823717 , t: , 19
KE: , 0.27375 , PE: , -0.151606 , total: , 0.122144 , delta E: , -0.0839192 , t: , 19.25
KE: , 0.273296 , PE: , -0.151357 , total: , 0.121939 , delta E: , -0.08546 , t: , 19.5
KE: , 0.272846 , PE: , -0.151111 , total: , 0.121734 , delta E: , -0.0869936 , t: , 19.75
KE: , 0.272398 , PE: , -0.150867 , total: , 0.121531 , delta E: , -0.0885193 , t: , 20
KE: , 0.271954 , PE: , -0.150626 , total: , 0.121328 , delta E: , -0.0900365 , t: , 20.25
KE: , 0.271514 , PE: , -0.150386 , total: , 0.121127 , delta E: , -0.0915446 , t: , 20.5
KE: , 0.271077 , PE: , -0.150149 , total: , 0.120928 , delta E: , -0.0930429 , t: , 20.75
KE: , 0.270644 , PE: , -0.149915 , total: , 0.120729 , delta E: , -0.0945309 , t: , 21
KE: , 0.270215 , PE: , -0.149683 , total: , 0.120532 , delta E: , -0.096008 , t: , 21.25
KE: , 0.26979 , PE: , -0.149453 , total: , 0.120337 , delta E: , -0.0974736 , t: , 21.5
KE: , 0.26937 , PE: , -0.149227 , total: , 0.120143 , delta E: , -0.0989271 , t: , 21.75
KE: , 0.268954 , PE: , -0.149003 , total: , 0.119951 , delta E: , -0.100368 , t: , 22
KE: , 0.268542 , PE: , -0.148782 , total: , 0.119761 , delta E: , -0.101796 , t: , 22.25
KE: , 0.268135 , PE: , -0.148563 , total: , 0.119572 , delta E: , -0.10321 , t: , 22.5
KE: , 0.267733 , PE: , -0.148348 , total: , 0.119385 , delta E: , -0.104609 , t: , 22.75
KE: , 0.267336 , PE: , -0.148135 , total: , 0.119201 , delta E: , -0.105994 , t: , 23
KE: , 0.266944 , PE: , -0.147926 , total: , 0.119018 , delta E: , -0.107364 , t: , 23.25
KE: , 0.266557 , PE: , -0.147719 , total: , 0.118838 , delta E: , -0.108717 , t: , 23.5
KE: , 0.266175 , PE: , -0.147516 , total: , 0.118659 , delta E: , -0.110055 , t: , 23.75
KE: , 0.265799 , PE: , -0.147316 , total: , 0.118483 , delta E: , -0.111376 , t: , 24
KE: , 0.265428 , PE: , -0.147119 , total: , 0.118309 , delta E: , -0.112679 , t: , 24.25
KE: , 0.265063 , PE: , -0.146925 , total: , 0.118138 , delta E: , -0.113965 , t: , 24.5
KE: , 0.264704 , PE: , -0.146735 , total: , 0.117969 , delta E: , -0.115232 , t: , 24.75
KE: , 0.26435 , PE: , -0.146548 , total: , 0.117803 , delta E: , -0.116481 , t: , 25
KE: , 0.264003 , PE: , -0.146364 , total: , 0.117639 , delta E: , -0.117711 , t: , 25.25
KE: , 0.263661 , PE: , -0.146184 , total: , 0.117477 , delta E: , -0.118921 , t: , 25.5
KE: , 0.263325 , PE: , -0.146007 , total: , 0.117318 , delta E: , -0.120112 , t: , 25.75
KE: , 0.262996 , PE: , -0.145834 , total: , 0.117162 , delta E: , -0.121282 , t: , 26
KE: , 0.262673 , PE: , -0.145664 , total: , 0.117009 , delta E: , -0.122431 , t: , 26.25
KE: , 0.262356 , PE: , -0.145497 , total: , 0.116859 , delta E: , -0.12356 , t: , 26.5
KE: , 0.262046 , PE: , -0.145335 , total: , 0.116711 , delta E: , -0.124666 , t: , 26.75
KE: , 0.261742 , PE: , -0.145176 , total: , 0.116566 , delta E: , -0.125751 , t: , 27
KE: , 0.261445 , PE: , -0.14502 , total: , 0.116425 , delta E: , -0.126814 , t: , 27.25
KE: , 0.261154 , PE: , -0.144868 , total: , 0.116286 , delta E: , -0.127854 , t: , 27.5
KE: , 0.26087 , PE: , -0.14472 , total: , 0.11615 , delta E: , -0.128872 , t: , 27.75
KE: , 0.260593 , PE: , -0.144576 , total: , 0.116018 , delta E: , -0.129866 , t: , 28
KE: , 0.260323 , PE: , -0.144435 , total: , 0.115888 , delta E: , -0.130837 , t: , 28.25
KE: , 0.26006 , PE: , -0.144298 , total: , 0.115762 , delta E: , -0.131783 , t: , 28.5
KE: , 0.259804 , PE: , -0.144165 , total: , 0.115639 , delta E: , -0.132706 , t: , 28.75
KE: , 0.259555 , PE: , -0.144035 , total: , 0.115519 , delta E: , -0.133604 , t: , 29
KE: , 0.259313 , PE: , -0.14391 , total: , 0.115403 , delta E: , -0.134477 , t: , 29.25
KE: , 0.259078 , PE: , -0.143788 , total: , 0.11529 , delta E: , -0.135326 , t: , 29.5
KE: , 0.25885 , PE: , -0.14367 , total: , 0.11518 , delta E: , -0.136149 , t: , 29.75
KE: , 0.25863 , PE: , -0.143556 , total: , 0.115074 , delta E: , -0.136946 , t: , 30
KE: , 0.258417 , PE: , -0.143446 , total: , 0.114971 , delta E: , -0.137718 , t: , 30.25
KE: , 0.258211 , PE: , -0.14334 , total: , 0.114871 , delta E: , -0.138464 , t: , 30.5
KE: , 0.258013 , PE: , -0.143237 , total: , 0.114776 , delta E: , -0.139183 , t: , 30.75
KE: , 0.257822 , PE: , -0.143139 , total: , 0.114683 , delta E: , -0.139876 , t: , 31
KE: , 0.257639 , PE: , -0.143044 , total: , 0.114594 , delta E: , -0.140543 , t: , 31.25
KE: , 0.257463 , PE: , -0.142954 , total: , 0.114509 , delta E: , -0.141182 , t: , 31.5
KE: , 0.257295 , PE: , -0.142867 , total: , 0.114427 , delta E: , -0.141794 , t: , 31.75
KE: , 0.257134 , PE: , -0.142784 , total: , 0.114349 , delta E: , -0.142379 , t: , 32
KE: , 0.256981 , PE: , -0.142706 , total: , 0.114275 , delta E: , -0.142937 , t: , 32.25
KE: , 0.256836 , PE: , -0.142631 , total: , 0.114204 , delta E: , -0.143467 , t: , 32.5
KE: , 0.256698 , PE: , -0.14256 , total: , 0.114137 , delta E: , -0.143969 , t: , 32.75
KE: , 0.256568 , PE: , -0.142494 , total: , 0.114074 , delta E: , -0.144444 , t: , 33
